OrderID,ProductID,Quantity
10001,P0002,2
10002,P0014,3
10003,P0004,5
10004,P0009,4
10005,P0024,2
10006,P0038,4
10007,P0046,4
10008,P0060,2
10009,P0013,2
10010,P0070,2
10011,P0012,4
10012,P0048,5
10013,P0072,2
10014,P0008,1
10015,P0050,2
10016,P0096,4
10017,P0084,3
10018,P0012,2
10019,P0077,3
10020,P0038,1
10021,P0078,5
10022,P0073,2
10023,P0099,5
10024,P0075,5
10025,P0015,3
10026,P0025,3
10027,P0052,4
10028,P0081,5
10029,P0093,1
10030,P0048,2
10031,P0005,2
10032,P0046,5
10033,P0044,1
10034,P0016,1
10035,P0074,4
10036,P0013,4
10037,P0086,1
10038,P0095,1
10039,P0076,4
10040,P0029,2
10041,P0074,5
10042,P0053,3
10043,P0069,3
10044,P0057,1
10045,P0011,2
10046,P0065,4
10047,P0056,5
10048,P0085,3
10049,P0064,3
10050,P0010,4
10051,P0062,2
10052,P0001,3
10053,P0069,2
10054,P0002,3
10055,P0083,1
10056,P0040,3
10057,P0079,2
10058,P0019,5
10059,P0077,1
10060,P0027,1
10061,P0091,2
10062,P0021,2
10063,P0097,2
10064,P0072,1
10065,P0092,5
10066,P0047,4
10067,P0003,4
10068,P0063,4
10069,P0090,5
10070,P0013,1
10071,P0077,4
10072,P0055,4
10073,P0011,4
10074,P0020,3
10075,P0076,4
10076,P0029,4
10077,P0027,2
10078,P0018,1
10079,P0010,1
10080,P0098,1
10081,P0025,1
10082,P0036,3
10083,P0074,1
10084,P0046,5
10085,P0021,2
10086,P0018,5
10087,P0006,3
10088,P0073,2
10089,P0099,4
10090,P0034,5
10091,P0006,2
10092,P0086,4
10093,P0007,1
10094,P0028,1
10095,P0062,5
10096,P0087,4
10097,P0010,4
10098,P0061,4
10099,P0064,5
10100,P0047,3
10101,P0067,2
10102,P0072,2
10103,P0045,3
10104,P0050,2
10105,P0020,2
10106,P0092,3
10107,P0058,2
10108,P0033,5
10109,P0070,2
10110,P0001,5
10111,P0050,2
