OrderID,CustomerID,OrderDate,PaymentMethod,Device
10001,C0438,2024-02-01,Net Banking,Mobile
10002,C0186,2024-04-29,Credit Card,Desktop
10003,C0051,2024-01-29,Debit Card,Mobile
10004,C0352,2024-05-13,Debit Card,Tablet
10005,C0189,2024-02-04,Net Banking,Desktop
10006,C0279,2024-05-06,Net Banking,Mobile
10007,C0462,2024-04-02,PayPal,Mobile
10008,C0331,2024-06-29,Debit Card,Mobile
10009,C0184,2024-03-14,Net Banking,Mobile
10010,C0032,2024-05-22,Credit Card,Tablet
10011,C0204,2024-01-11,PayPal,Mobile
10012,C0142,2024-01-22,Net Banking,Desktop
10013,C0098,2024-03-24,PayPal,Desktop
10014,C0496,2024-05-06,PayPal,Mobile
10015,C0063,2024-01-30,Credit Card,Tablet
10016,C0486,2024-04-08,Credit Card,Tablet
10017,C0435,2024-03-13,Net Banking,Tablet
10018,C0422,2024-04-26,PayPal,Tablet
10019,C0233,2024-06-02,Credit Card,Mobile
10020,C0047,2024-03-20,Debit Card,Mobile
10021,C0340,2024-06-24,PayPal,Tablet
10022,C0109,2024-04-23,Net Banking,Tablet
10023,C0329,2024-02-27,Debit Card,Mobile
10024,C0328,2024-05-21,PayPal,Mobile
10025,C0306,2024-04-14,Credit Card,Mobile
10026,C0498,2024-03-15,PayPal,Desktop
10027,C0011,2024-04-19,Credit Card,Desktop
10028,C0026,2024-02-18,Credit Card,Desktop
10029,C0403,2024-01-18,Credit Card,Tablet
10030,C0171,2024-05-01,Debit Card,Tablet
10031,C0125,2024-06-22,Credit Card,Tablet
10032,C0065,2024-04-04,PayPal,Tablet
10033,C0403,2024-02-15,PayPal,Desktop
10034,C0290,2024-01-04,Credit Card,Desktop
10035,C0106,2024-06-21,Credit Card,Tablet
10036,C0036,2024-05-05,Debit Card,Mobile
10037,C0425,2024-06-21,Net Banking,Mobile
10038,C0392,2024-01-27,Credit Card,Desktop
10039,C0284,2024-04-11,Net Banking,Tablet
10040,C0107,2024-04-22,Debit Card,Tablet
10041,C0301,2024-05-13,Net Banking,Desktop
10042,C0111,2024-06-17,Credit Card,Mobile
10043,C0417,2024-06-22,Debit Card,Desktop
10044,C0446,2024-01-22,Debit Card,Tablet
10045,C0120,2024-01-31,Net Banking,Tablet
10046,C0169,2024-02-06,Debit Card,Mobile
10047,C0397,2024-04-11,PayPal,Tablet
10048,C0076,2024-04-12,Debit Card,Desktop
10049,C0404,2024-06-26,Net Banking,Desktop
10050,C0462,2024-05-31,Net Banking,Desktop
10051,C0306,2024-01-27,Credit Card,Tablet
10052,C0002,2024-02-13,Net Banking,Mobile
10053,C0142,2024-01-17,Credit Card,Desktop
10054,C0440,2024-04-03,Net Banking,Mobile
10055,C0075,2024-02-20,Debit Card,Tablet
10056,C0067,2024-03-27,Debit Card,Mobile
10057,C0277,2024-02-21,Credit Card,Mobile
10058,C0129,2024-06-01,Debit Card,Mobile
10059,C0409,2024-04-13,Net Banking,Mobile
10060,C0090,2024-02-01,Net Banking,Desktop
10061,C0057,2024-02-29,Credit Card,Tablet
10062,C0339,2024-04-18,Net Banking,Mobile
10063,C0444,2024-05-07,Debit Card,Desktop
10064,C0014,2024-03-12,Net Banking,Desktop
10065,C0068,2024-05-28,Credit Card,Mobile
10066,C0008,2024-05-31,Net Banking,Tablet
